id	trial	item	comparison	absolute
19_11_22_143320.txt_01	1	length	higher	6
19_11_22_143320.txt_01	2	price	higher	25000
19_11_22_143320.txt_01	3	age	higher	40
19_11_22_143320.txt_01	4	unemployment	lower	2.06
19_11_22_143320.txt_01	5	population	lower	150
19_11_22_143320.txt_01	6	days	lower	365
19_11_22_143320.txt_01	7	weight	higher	8
19_11_22_143320.txt_01	8	salary	higher	13350
19_11_22_143320.txt_01	9	temperature	higher	29
19_11_22_143320.txt_01	10	distance	lower	1000
19_11_26_131705.txt_01	1	weight	higher	11
19_11_26_131705.txt_01	2	temperature	lower	5.6
19_11_26_131705.txt_01	3	length	higher	5
19_11_26_131705.txt_01	4	salary	lower	27000
19_11_26_131705.txt_01	5	age	higher	34
19_11_26_131705.txt_01	6	unemployment	lower	9.8
19_11_26_131705.txt_01	7	days	lower	24810
19_11_26_131705.txt_01	8	price	higher	699999
19_11_26_131705.txt_01	9	population	higher	27
19_11_26_131705.txt_01	10	distance	lower	1600
19_11_27_145611.txt_01	1	distance	lower	900
19_11_27_145611.txt_01	2	population	lower	18
19_11_27_145611.txt_01	3	days	lower	600
19_11_27_145611.txt_01	4	temperature	higher	5
19_11_27_145611.txt_01	5	length	higher	6
19_11_27_145611.txt_01	6	age	lower	60
19_11_27_145611.txt_01	7	unemployment	lower	4
19_11_27_145611.txt_01	8	salary	lower	35000
19_11_27_145611.txt_01	9	price	lower	600
19_11_27_145611.txt_01	10	weight	lower	80
19_11_27_162422.txt_01	1	days	higher	700
19_11_27_162422.txt_01	2	weight	higher	20
19_11_27_162422.txt_01	3	age	lower	45
19_11_27_162422.txt_01	4	length	lower	5
19_11_27_162422.txt_01	5	salary	lower	30000
19_11_27_162422.txt_01	6	population	higher	10
19_11_27_162422.txt_01	7	price	higher	500
19_11_27_162422.txt_01	8	unemployment	higher	2.5
19_11_27_162422.txt_01	9	distance	lower	1000
19_11_27_162422.txt_01	10	temperature	higher	22
19_12_02_162058.txt_01	1	age	lower	50
19_12_02_162058.txt_01	2	population	higher	40
19_12_02_162058.txt_01	3	unemployment	lower	3
19_12_02_162058.txt_01	4	weight	lower	3
19_12_02_162058.txt_01	5	price	higher	380
19_12_02_162058.txt_01	6	distance	higher	3000
19_12_02_162058.txt_01	7	length	higher	5
19_12_02_162058.txt_01	8	salary	higher	25000
19_12_02_162058.txt_01	9	temperature	higher	5
19_12_02_162058.txt_01	10	days	higher	600
19_12_03_112701.txt_01	1	salary	higher	30000
19_12_03_112701.txt_01	2	distance	higher	800
19_12_03_112701.txt_01	3	unemployment	higher	6
19_12_03_112701.txt_01	4	age	lower	50
19_12_03_112701.txt_01	5	price	lower	500
19_12_03_112701.txt_01	6	population	lower	15
19_12_03_112701.txt_01	7	length	higher	6
19_12_03_112701.txt_01	8	weight	higher	40
19_12_03_112701.txt_01	9	days	higher	365
19_12_03_112701.txt_01	10	temperature	lower	15
19_12_03_143447.txt_01	1	distance	lower	1050
19_12_03_143447.txt_01	2	days	higher	365
19_12_03_143447.txt_01	3	price	higher	450000
19_12_03_143447.txt_01	4	salary	lower	18000
19_12_03_143447.txt_01	5	length	lower	8
19_12_03_143447.txt_01	6	temperature	lower	29
19_12_03_143447.txt_01	7	weight	higher	100
19_12_03_143447.txt_01	8	unemployment	lower	10
19_12_03_143447.txt_01	9	population	lower	50
19_12_03_143447.txt_01	10	age	higher	40
19_12_04_132231.txt_01	1	length	lower	5
19_12_04_132231.txt_01	2	weight	higher	200
19_12_04_132231.txt_01	3	days	lower	390
19_12_04_132231.txt_01	4	distance	lower	680
19_12_04_132231.txt_01	5	population	higher	5
19_12_04_132231.txt_01	6	unemployment	lower	6
19_12_04_132231.txt_01	7	price	lower	200
19_12_04_132231.txt_01	8	age	lower	72
19_12_04_132231.txt_01	9	salary	higher	17000
19_12_04_132231.txt_01	10	temperature	lower	18
19_12_04_142916.txt_01	1	length	higher	5
19_12_04_142916.txt_01	2	salary	lower	30000
19_12_04_142916.txt_01	3	price	higher	250000
19_12_04_142916.txt_01	4	age	higher	50
19_12_04_142916.txt_01	5	unemployment	lower	0.5
19_12_04_142916.txt_01	6	population	higher	15
19_12_04_142916.txt_01	7	temperature	lower	20
19_12_04_142916.txt_01	8	days	higher	365
19_12_04_142916.txt_01	9	distance	lower	800
19_12_04_142916.txt_01	10	weight	lower	200
19_12_04_162340.txt_01	1	distance	lower	2000
19_12_04_162340.txt_01	2	age	higher	48
19_12_04_162340.txt_01	3	population	lower	12
19_12_04_162340.txt_01	4	weight	lower	35
19_12_04_162340.txt_01	5	salary	lower	32000
19_12_04_162340.txt_01	6	price	higher	250
19_12_04_162340.txt_01	7	unemployment	higher	2.3
19_12_04_162340.txt_01	8	days	lower	450
19_12_04_162340.txt_01	9	length	lower	6
19_12_04_162340.txt_01	10	temperature	lower	9.5
19_12_05_132053.txt_01	1	price	higher	200000
19_12_05_132053.txt_01	2	age	higher	40
19_12_05_132053.txt_01	3	population	higher	16
19_12_05_132053.txt_01	4	distance	higher	1500
19_12_05_132053.txt_01	5	weight	lower	200
19_12_05_132053.txt_01	6	days	lower	3000
19_12_05_132053.txt_01	7	length	higher	5
19_12_05_132053.txt_01	8	temperature	lower	10
19_12_05_132053.txt_01	9	salary	higher	28000
19_12_05_132053.txt_01	10	unemployment	higher	2
19_12_16_163254.txt_01	1	age	higher	60
19_12_16_163254.txt_01	2	unemployment	lower	2
19_12_16_163254.txt_01	3	temperature	lower	19
19_12_16_163254.txt_01	4	length	higher	5
19_12_16_163254.txt_01	5	population	higher	15
19_12_16_163254.txt_01	6	days	lower	40000
19_12_16_163254.txt_01	7	salary	lower	45000
19_12_16_163254.txt_01	8	price	higher	300
19_12_16_163254.txt_01	9	distance	higher	500
19_12_16_163254.txt_01	10	weight	lower	1000
19_11_22_131437.txt_02	1	weight	higher	25
19_11_22_131437.txt_02	2	salary	higher	18000
19_11_22_131437.txt_02	3	distance	higher	560
19_11_22_131437.txt_02	4	population	higher	1500000
19_11_22_131437.txt_02	5	length	higher	5
19_11_22_131437.txt_02	6	age	lower	35
19_11_22_131437.txt_02	7	price	higher	350000
19_11_22_131437.txt_02	8	days	lower	250
19_11_22_131437.txt_02	9	unemployment	higher	2
19_11_22_131437.txt_02	10	temperature	higher	5
19_11_22_143045.txt_02	1	age	higher	34
19_11_22_143045.txt_02	2	unemployment	higher	8
19_11_22_143045.txt_02	3	weight	higher	150
19_11_22_143045.txt_02	4	temperature	higher	27
19_11_22_143045.txt_02	5	days	lower	365
19_11_22_143045.txt_02	6	distance	lower	700
19_11_22_143045.txt_02	7	salary	higher	24000
19_11_22_143045.txt_02	8	price	higher	500000
19_11_22_143045.txt_02	9	population	higher	7
19_11_22_143045.txt_02	10	length	lower	6
19_11_22_155921.txt_02	1	unemployment	lower	3
19_11_22_155921.txt_02	2	weight	lower	2
19_11_22_155921.txt_02	3	distance	higher	600
19_11_22_155921.txt_02	4	temperature	higher	9
19_11_22_155921.txt_02	5	price	higher	150
19_11_22_155921.txt_02	6	days	higher	400
19_11_22_155921.txt_02	7	age	higher	54
19_11_22_155921.txt_02	8	salary	lower	29000
19_11_22_155921.txt_02	9	population	higher	15
19_11_22_155921.txt_02	10	length	higher	7
19_11_26_131711.txt_02	1	weight	lower	300
19_11_26_131711.txt_02	2	days	lower	6000
19_11_26_131711.txt_02	3	price	higher	370
19_11_26_131711.txt_02	4	distance	lower	800
19_11_26_131711.txt_02	5	temperature	lower	19
19_11_26_131711.txt_02	6	population	lower	18
19_11_26_131711.txt_02	7	age	lower	55
19_11_26_131711.txt_02	8	length	lower	5
19_11_26_131711.txt_02	9	unemployment	lower	2
19_11_26_131711.txt_02	10	salary	lower	26500
19_11_26_142417.txt_02	1	weight	lower	900
19_11_26_142417.txt_02	2	salary	higher	32000
19_11_26_142417.txt_02	3	length	lower	7
19_11_26_142417.txt_02	4	temperature	higher	15
19_11_26_142417.txt_02	5	price	higher	700000
19_11_26_142417.txt_02	6	distance	lower	3000
19_11_26_142417.txt_02	7	age	higher	50
19_11_26_142417.txt_02	8	days	lower	1000
19_11_26_142417.txt_02	9	population	higher	15
19_11_26_142417.txt_02	10	unemployment	lower	1.2
19_11_26_163103.txt_02	1	length	lower	5
19_11_26_163103.txt_02	2	age	lower	53
19_11_26_163103.txt_02	3	days	higher	30000
19_11_26_163103.txt_02	4	temperature	higher	20
19_11_26_163103.txt_02	5	price	higher	600000
19_11_26_163103.txt_02	6	weight	higher	8
19_11_26_163103.txt_02	7	population	higher	90
19_11_26_163103.txt_02	8	unemployment	lower	5
19_11_26_163103.txt_02	9	distance	higher	500
19_11_26_163103.txt_02	10	salary	lower	32000
19_11_27_132145.txt_02	1	unemployment	lower	2
19_11_27_132145.txt_02	2	age	higher	50
19_11_27_132145.txt_02	3	distance	higher	500
19_11_27_132145.txt_02	4	population	higher	4
19_11_27_132145.txt_02	5	length	lower	6
19_11_27_132145.txt_02	6	weight	higher	3500
19_11_27_132145.txt_02	7	days	lower	120
19_11_27_132145.txt_02	8	temperature	higher	15
19_11_27_132145.txt_02	9	salary	lower	25000
19_11_27_132145.txt_02	10	price	higher	350000
19_11_27_145625.txt_02	1	unemployment	lower	6
19_11_27_145625.txt_02	2	weight	higher	15
19_11_27_145625.txt_02	3	temperature	higher	16
19_11_27_145625.txt_02	4	price	lower	900000
19_11_27_145625.txt_02	5	age	lower	40
19_11_27_145625.txt_02	6	days	lower	5000
19_11_27_145625.txt_02	7	salary	lower	29000
19_11_27_145625.txt_02	8	length	higher	5
19_11_27_145625.txt_02	9	distance	higher	1000
19_11_27_145625.txt_02	10	population	higher	10000000
19_11_27_162426.txt_02	1	unemployment	lower	3.5
19_11_27_162426.txt_02	2	temperature	lower	10
19_11_27_162426.txt_02	3	population	higher	8
19_11_27_162426.txt_02	4	weight	higher	10
19_11_27_162426.txt_02	5	days	higher	2000
19_11_27_162426.txt_02	6	price	lower	400000
19_11_27_162426.txt_02	7	distance	lower	1000
19_11_27_162426.txt_02	8	salary	higher	35000
19_11_27_162426.txt_02	9	age	lower	49
19_11_27_162426.txt_02	10	length	lower	7
19_11_28_125606.txt_02	1	population	lower	30
19_11_28_125606.txt_02	2	unemployment	higher	2
19_11_28_125606.txt_02	3	temperature	lower	6
19_11_28_125606.txt_02	4	salary	higher	32000
19_11_28_125606.txt_02	5	price	higher	600
19_11_28_125606.txt_02	6	age	higher	45
19_11_28_125606.txt_02	7	length	higher	7
19_11_28_125606.txt_02	8	distance	lower	500
19_11_28_125606.txt_02	9	weight	lower	10
19_11_28_125606.txt_02	10	days	lower	600
19_11_29_130315.txt_02	1	temperature	higher	20
19_11_29_130315.txt_02	2	population	higher	2
19_11_29_130315.txt_02	3	age	lower	60
19_11_29_130315.txt_02	4	distance	higher	4000
19_11_29_130315.txt_02	5	price	lower	500
19_11_29_130315.txt_02	6	salary	lower	30000
19_11_29_130315.txt_02	7	unemployment	lower	8
19_11_29_130315.txt_02	8	weight	higher	500
19_11_29_130315.txt_02	9	length	lower	7
19_11_29_130315.txt_02	10	days	higher	30000
19_11_29_145308.txt_02	1	distance	lower	500
19_11_29_145308.txt_02	2	price	lower	400
19_11_29_145308.txt_02	3	temperature	higher	18
19_11_29_145308.txt_02	4	days	higher	800000
19_11_29_145308.txt_02	5	weight	higher	200
19_11_29_145308.txt_02	6	age	higher	50
19_11_29_145308.txt_02	7	unemployment	higher	7
19_11_29_145308.txt_02	8	salary	higher	25000
19_11_29_145308.txt_02	9	length	lower	6
19_11_29_145308.txt_02	10	population	higher	6
19_12_02_162107.txt_02	1	days	higher	1230
19_12_02_162107.txt_02	2	price	lower	850
19_12_02_162107.txt_02	3	salary	higher	30000
19_12_02_162107.txt_02	4	distance	higher	3000
19_12_02_162107.txt_02	5	length	lower	5
19_12_02_162107.txt_02	6	weight	lower	15
19_12_02_162107.txt_02	7	population	lower	10
19_12_02_162107.txt_02	8	temperature	lower	20
19_12_02_162107.txt_02	9	unemployment	lower	4
19_12_02_162107.txt_02	10	age	lower	56
19_12_03_112723.txt_02	1	age	higher	49
19_12_03_112723.txt_02	2	unemployment	higher	3.2
19_12_03_112723.txt_02	3	population	higher	1.2
19_12_03_112723.txt_02	4	price	higher	300000
19_12_03_112723.txt_02	5	days	higher	50000
19_12_03_112723.txt_02	6	length	higher	6
19_12_03_112723.txt_02	7	temperature	lower	21.6
19_12_03_112723.txt_02	8	weight	higher	108
19_12_03_112723.txt_02	9	salary	lower	28450
19_12_03_112723.txt_02	10	distance	lower	650
19_12_03_131845.txt_02	1	salary	lower	30000
19_12_03_131845.txt_02	2	days	lower	750
19_12_03_131845.txt_02	3	age	higher	53
19_12_03_131845.txt_02	4	population	lower	20
19_12_03_131845.txt_02	5	distance	lower	20000
19_12_03_131845.txt_02	6	unemployment	lower	12
19_12_03_131845.txt_02	7	temperature	lower	21
19_12_03_131845.txt_02	8	price	lower	30
19_12_03_131845.txt_02	9	weight	higher	120
19_12_03_131845.txt_02	10	length	lower	8
19_12_04_132446.txt_02	1	salary	lower	32000
19_12_04_132446.txt_02	2	temperature	lower	19
19_12_04_132446.txt_02	3	population	higher	15
19_12_04_132446.txt_02	4	days	higher	200
19_12_04_132446.txt_02	5	weight	higher	75
19_12_04_132446.txt_02	6	distance	lower	500
19_12_04_132446.txt_02	7	price	higher	450000
19_12_04_132446.txt_02	8	age	higher	45
19_12_04_132446.txt_02	9	unemployment	higher	2.25
19_12_04_132446.txt_02	10	length	lower	6
19_12_04_142924.txt_02	1	length	lower	5
19_12_04_142924.txt_02	2	population	higher	40
19_12_04_142924.txt_02	3	distance	higher	600
19_12_04_142924.txt_02	4	weight	higher	5
19_12_04_142924.txt_02	5	days	lower	600
19_12_04_142924.txt_02	6	price	lower	600
19_12_04_142924.txt_02	7	unemployment	higher	3
19_12_04_142924.txt_02	8	age	lower	45
19_12_04_142924.txt_02	9	temperature	lower	18
19_12_04_142924.txt_02	10	salary	higher	25000
19_12_04_162327.txt_02	1	weight	higher	1000
19_12_04_162327.txt_02	2	unemployment	lower	4
19_12_04_162327.txt_02	3	population	higher	50
19_12_04_162327.txt_02	4	salary	higher	20000
19_12_04_162327.txt_02	5	age	lower	47
19_12_04_162327.txt_02	6	distance	lower	4000
19_12_04_162327.txt_02	7	length	lower	7
19_12_04_162327.txt_02	8	days	lower	15000
19_12_04_162327.txt_02	9	temperature	lower	8
19_12_04_162327.txt_02	10	price	higher	400000
19_12_05_115054.txt_02	1	salary	lower	32000
19_12_05_115054.txt_02	2	weight	higher	4000
19_12_05_115054.txt_02	3	age	higher	35
19_12_05_115054.txt_02	4	temperature	higher	23
19_12_05_115054.txt_02	5	distance	lower	1200
19_12_05_115054.txt_02	6	length	higher	5
19_12_05_115054.txt_02	7	price	higher	280000
19_12_05_115054.txt_02	8	days	higher	400
19_12_05_115054.txt_02	9	population	higher	30
19_12_05_115054.txt_02	10	unemployment	higher	2
19_12_05_132059.txt_02	1	distance	lower	1500
19_12_05_132059.txt_02	2	weight	lower	100
19_12_05_132059.txt_02	3	temperature	lower	14
19_12_05_132059.txt_02	4	salary	higher	12000
19_12_05_132059.txt_02	5	days	lower	1
19_12_05_132059.txt_02	6	length	higher	6
19_12_05_132059.txt_02	7	price	higher	350000
19_12_05_132059.txt_02	8	age	lower	50
19_12_05_132059.txt_02	9	population	lower	100
19_12_05_132059.txt_02	10	unemployment	lower	4
19_12_09_162716.txt_02	1	weight	lower	100
19_12_09_162716.txt_02	2	length	lower	5
19_12_09_162716.txt_02	3	unemployment	lower	5
19_12_09_162716.txt_02	4	distance	higher	900
19_12_09_162716.txt_02	5	days	higher	500
19_12_09_162716.txt_02	6	age	lower	63
19_12_09_162716.txt_02	7	salary	lower	30000
19_12_09_162716.txt_02	8	price	higher	500000
19_12_09_162716.txt_02	9	temperature	higher	15
19_12_09_162716.txt_02	10	population	higher	5
19_12_10_132928.txt_02	1	age	lower	55
19_12_10_132928.txt_02	2	weight	higher	10
19_12_10_132928.txt_02	3	days	lower	500
19_12_10_132928.txt_02	4	salary	higher	23000
19_12_10_132928.txt_02	5	unemployment	lower	3
19_12_10_132928.txt_02	6	population	higher	30
19_12_10_132928.txt_02	7	distance	lower	1000
19_12_10_132928.txt_02	8	price	higher	550
19_12_10_132928.txt_02	9	temperature	lower	15
19_12_10_132928.txt_02	10	length	lower	5
19_12_10_142629.txt_02	1	distance	lower	1000
19_12_10_142629.txt_02	2	weight	lower	80
19_12_10_142629.txt_02	3	unemployment	lower	5
19_12_10_142629.txt_02	4	price	higher	500000
19_12_10_142629.txt_02	5	age	lower	38
19_12_10_142629.txt_02	6	length	lower	7
19_12_10_142629.txt_02	7	temperature	lower	20
19_12_10_142629.txt_02	8	population	higher	65
19_12_10_142629.txt_02	9	days	higher	500
19_12_10_142629.txt_02	10	salary	lower	30000
19_12_11_132529.txt_02	1	days	higher	1400
19_12_11_132529.txt_02	2	unemployment	higher	15
19_12_11_132529.txt_02	3	temperature	lower	21
19_12_11_132529.txt_02	4	population	higher	18
19_12_11_132529.txt_02	5	length	lower	5
19_12_11_132529.txt_02	6	salary	higher	25000
19_12_11_132529.txt_02	7	price	lower	350000
19_12_11_132529.txt_02	8	distance	lower	950
19_12_11_132529.txt_02	9	age	higher	38
19_12_11_132529.txt_02	10	weight	higher	120
19_12_11_143935.txt_02	1	temperature	lower	5
19_12_11_143935.txt_02	2	distance	lower	1500
19_12_11_143935.txt_02	3	unemployment	higher	5
19_12_11_143935.txt_02	4	age	lower	55
19_12_11_143935.txt_02	5	price	higher	600000
19_12_11_143935.txt_02	6	population	lower	20000000
19_12_11_143935.txt_02	7	salary	higher	37000
19_12_11_143935.txt_02	8	weight	lower	350
19_12_11_143935.txt_02	9	days	lower	1000
19_12_11_143935.txt_02	10	length	lower	6
19_12_12_132736.txt_02	1	weight	higher	500
19_12_12_132736.txt_02	2	temperature	higher	27
19_12_12_132736.txt_02	3	age	lower	60
19_12_12_132736.txt_02	4	distance	higher	2800
19_12_12_132736.txt_02	5	unemployment	lower	3
19_12_12_132736.txt_02	6	length	lower	6
19_12_12_132736.txt_02	7	population	lower	70
19_12_12_132736.txt_02	8	salary	lower	35000
19_12_12_132736.txt_02	9	price	higher	450000
19_12_12_132736.txt_02	10	days	lower	600
19_12_13_101841.txt_02	1	price	higher	250000
19_12_13_101841.txt_02	2	salary	lower	24000
19_12_13_101841.txt_02	3	days	higher	300
19_12_13_101841.txt_02	4	distance	lower	870
19_12_13_101841.txt_02	5	weight	higher	80
19_12_13_101841.txt_02	6	temperature	higher	18
19_12_13_101841.txt_02	7	unemployment	higher	3
19_12_13_101841.txt_02	8	population	higher	15000000
19_12_13_101841.txt_02	9	length	lower	5
19_12_13_101841.txt_02	10	age	lower	45
19_12_13_133959.txt_02	1	price	higher	500000
19_12_13_133959.txt_02	2	weight	lower	1500
19_12_13_133959.txt_02	3	temperature	higher	23
19_12_13_133959.txt_02	4	population	lower	30
19_12_13_133959.txt_02	5	days	higher	365
19_12_13_133959.txt_02	6	unemployment	lower	3
19_12_13_133959.txt_02	7	length	lower	6
19_12_13_133959.txt_02	8	distance	lower	1500
19_12_13_133959.txt_02	9	age	higher	48
19_12_13_133959.txt_02	10	salary	lower	25000
19_12_13_142803.txt_02	1	temperature	lower	15
19_12_13_142803.txt_02	2	price	higher	250000
19_12_13_142803.txt_02	3	salary	higher	25000
19_12_13_142803.txt_02	4	age	lower	30
19_12_13_142803.txt_02	5	distance	lower	1000
19_12_13_142803.txt_02	6	weight	higher	200
19_12_13_142803.txt_02	7	population	higher	90
19_12_13_142803.txt_02	8	length	lower	5
19_12_13_142803.txt_02	9	unemployment	lower	6
19_12_13_142803.txt_02	10	days	higher	10000
19_12_16_145116.txt_02	1	days	higher	8500
19_12_16_145116.txt_02	2	weight	higher	25
19_12_16_145116.txt_02	3	age	higher	58
19_12_16_145116.txt_02	4	population	higher	12
19_12_16_145116.txt_02	5	salary	higher	30000
19_12_16_145116.txt_02	6	distance	lower	500
19_12_16_145116.txt_02	7	temperature	lower	16
19_12_16_145116.txt_02	8	unemployment	lower	6
19_12_16_145116.txt_02	9	price	lower	750
19_12_16_145116.txt_02	10	length	higher	6
19_12_16_161622.txt_02	1	length	lower	5
19_12_16_161622.txt_02	2	price	higher	500000
19_12_16_161622.txt_02	3	age	lower	62
19_12_16_161622.txt_02	4	temperature	higher	7
19_12_16_161622.txt_02	5	salary	higher	34000
19_12_16_161622.txt_02	6	distance	higher	500
19_12_16_161622.txt_02	7	weight	lower	1500
19_12_16_161622.txt_02	8	days	lower	10000
19_12_16_161622.txt_02	9	unemployment	lower	3
19_12_16_161622.txt_02	10	population	higher	45
19_12_17_100945.txt_02	1	temperature	higher	18
19_12_17_100945.txt_02	2	age	higher	43
19_12_17_100945.txt_02	3	distance	lower	1200
19_12_17_100945.txt_02	4	salary	higher	34000
19_12_17_100945.txt_02	5	weight	lower	250
19_12_17_100945.txt_02	6	unemployment	higher	2
19_12_17_100945.txt_02	7	price	higher	400
19_12_17_100945.txt_02	8	days	lower	1000
19_12_17_100945.txt_02	9	population	higher	20
19_12_17_100945.txt_02	10	length	lower	7
19_12_17_114220.txt_02	1	population	lower	1
19_12_17_114220.txt_02	2	price	higher	750000
19_12_17_114220.txt_02	3	distance	lower	800
19_12_17_114220.txt_02	4	salary	lower	16000
19_12_17_114220.txt_02	5	age	lower	65
19_12_17_114220.txt_02	6	unemployment	lower	2
19_12_17_114220.txt_02	7	weight	lower	25
19_12_17_114220.txt_02	8	length	lower	6
19_12_17_114220.txt_02	9	temperature	lower	15
19_12_17_114220.txt_02	10	days	higher	300
19_12_17_125928.txt_02	1	price	lower	400000
19_12_17_125928.txt_02	2	age	lower	49
19_12_17_125928.txt_02	3	temperature	lower	10
19_12_17_125928.txt_02	4	unemployment	higher	3
19_12_17_125928.txt_02	5	days	lower	700
